source_table,source_column,target_table_pred,target_table_column_pred,n_shots
ADMISSIONS,SUBJECT_ID,person,person_id,1
ADMISSIONS,HADM_ID,visit_occurrence,visit_occurrence_id,1
ADMISSIONS,ADMITTIME,visit_occurrence,visit_start_datetime,1
ADMISSIONS,DISCHTIME,visit_occurrence,visit_end_datetime,1
ADMISSIONS,DEATHTIME,death,death_datetime,1
ADMISSIONS,ADMISSION_TYPE,visit_occurrence,visit_type_concept_id,1
ADMISSIONS,ADMISSION_LOCATION,visit_occurrence,admitting_source_value,1
ADMISSIONS,DISCHARGE_LOCATION,visit_occurrence,discharge_to_concept_id,1
ADMISSIONS,INSURANCE,visit_occurrence,payer_source_value,1
ADMISSIONS,LANGUAGE,ADMISSIONS,LANGUAGE,1
ADMISSIONS,RELIGION,person,religion_concept_id,1
ADMISSIONS,MARITAL_STATUS,ADMISSIONS,MARITAL_STATUS,1
ADMISSIONS,ETHNICITY,person,ethnicity_concept_id,1
ADMISSIONS,EDREGTIME,visit_occurrence,visit_start_datetime,1
ADMISSIONS,EDOUTTIME,ADMISSIONS,EDOUTTIME,1
ADMISSIONS,DIAGNOSIS,ADMISSIONS,DIAGNOSIS,1
ADMISSIONS,HOSPITAL_EXPIRE_FLAG,visit_occurrence,discharge_to_concept_id,1
ADMISSIONS,HAS_CHARTEVENTS_DATA,admissions,has_chartevents_data,1
CALLOUT,SUBJECT_ID,person,person_id,1
CALLOUT,HADM_ID,visit_occurrence,visit_occurrence_id,1
CALLOUT,SUBMIT_WARDID,location,location_id,1
CALLOUT,SUBMIT_CAREUNIT,visit_occurrence,admitted_from_source_value,1
CALLOUT,CURR_WARDID,CALLOUT,CURR_WARDID,1
CALLOUT,CURR_CAREUNIT,CALLOUT,CURR_CAREUNIT,1
CALLOUT,CALLOUT_WARDID,CALLOUT,CALLOUT_WARDID,1
CALLOUT,CALLOUT_SERVICE,care_site,place_of_service_concept_id,1
CALLOUT,REQUEST_TELE,callout,request_tele,1
CALLOUT,REQUEST_RESP,callout,request_resp,1
CALLOUT,REQUEST_CDIFF,measurement,measurement_concept_id,1
CALLOUT,REQUEST_MRSA,observation,value_as_concept_id,1
CALLOUT,REQUEST_VRE,callout,request_vre,1
CALLOUT,CALLOUT_STATUS,note,note_text,1
CALLOUT,CALLOUT_OUTCOME,CALLOUT,CALLOUT_OUTCOME,1
CALLOUT,DISCHARGE_WARDID,visit_occurrence,discharge_to_concept_id,1
CALLOUT,ACKNOWLEDGE_STATUS,fact_relationship,relationship_concept_id,1
CALLOUT,CREATETIME,note,note_datetime,1
CALLOUT,UPDATETIME,CALLOUT,UPDATETIME,1
CALLOUT,ACKNOWLEDGETIME,visit_occurrence,admitted_from_source_value,1
CALLOUT,OUTCOMETIME,callout,outcometime,1
CALLOUT,FIRSTRESERVATIONTIME,CALLOUT,FIRSTRESERVATIONTIME,1
CALLOUT,CURRENTRESERVATIONTIME,visit_detail,visit_detail_start_datetime,1
CAREGIVERS,CGID,care_site,care_site_id,1
CAREGIVERS,LABEL,care_site,care_site_name,1
CAREGIVERS,DESCRIPTION,CAREGIVERS,DESCRIPTION,1
CHARTEVENTS,SUBJECT_ID,person,person_id,1
CHARTEVENTS,HADM_ID,visit_occurrence,visit_occurrence_id,1
CHARTEVENTS,ICUSTAY_ID,care_site,care_site_id,1
CHARTEVENTS,ITEMID,procedure_occurrence,procedure_concept_id,1
CHARTEVENTS,CHARTTIME,observation_period,observation_period_start_datetime,1
CHARTEVENTS,STORETIME,measurement,measurement_datetime,1
CHARTEVENTS,CGID,care_site,care_site_id,1
CHARTEVENTS,VALUE,measurement,value_as_number,1
CHARTEVENTS,VALUENUM,measurement,value_as_number,1
CHARTEVENTS,VALUEUOM,measurement,unit_source_value,1
CHARTEVENTS,WARNING,observation,value_as_concept_id,1
CHARTEVENTS,ERROR,measurement,value_as_concept_id,1
CHARTEVENTS,RESULTSTATUS,measurement,value_as_concept_id,1
CHARTEVENTS,STOPPED,chartevents,stopped,1
CPTEVENTS,SUBJECT_ID,CPTEVENTS,SUBJECT_ID,1
CPTEVENTS,HADM_ID,visit_occurrence,visit_occurrence_id,1
CPTEVENTS,COSTCENTER,CPTEVENTS,COSTCENTER,1
CPTEVENTS,CHARTDATE,procedure_occurrence,procedure_date,1
CPTEVENTS,CPT_CD,procedure_occurrence,procedure_concept_id,1
CPTEVENTS,CPT_NUMBER,procedure_occurrence,procedure_concept_id,1
CPTEVENTS,CPT_SUFFIX,CPTEVENTS,CPT_SUFFIX,1
CPTEVENTS,TICKET_ID_SEQ,CPTEVENTS,TICKET_ID_SEQ,1
CPTEVENTS,SECTIONHEADER,note,note_title,1
CPTEVENTS,SUBSECTIONHEADER,note,note_title,1
CPTEVENTS,DESCRIPTION,CPTEVENTS,DESCRIPTION,1
D_CPT,CATEGORY,procedure_occurrence,procedure_concept_id,1
D_CPT,SECTIONRANGE,concept,concept_code,1
D_CPT,SECTIONHEADER,concept,concept_name,1
D_CPT,SUBSECTIONRANGE,D_CPT,SUBSECTIONRANGE,1
D_CPT,SUBSECTIONHEADER,concept,concept_name,1
D_CPT,CODESUFFIX,D_CPT,CODESUFFIX,1
D_CPT,MINCODEINSUBSECTION,concept,concept_code,1
D_CPT,MAXCODEINSUBSECTION,procedure_occurrence,procedure_concept_id,1
D_ICD_DIAGNOSES,ICD9_CODE,condition_occurrence,condition_source_value,1
D_ICD_DIAGNOSES,SHORT_TITLE,D_ICD_DIAGNOSES,SHORT_TITLE,1
D_ICD_DIAGNOSES,LONG_TITLE,concept,concept_name,1
